camera,segment,kind,frame,eye_px,nme,max_px
lfw,all,rgb,rgb/Alan_Ball_0001.ppm,65.4,6.359e-7,0.0002
lfw,all,rgb,rgb/Alan_Ball_0002.ppm,64.7,6.358e-7,0.0002
lfw,all,rgb,rgb/Alan_Dershowitz_0001.ppm,56.5,8.060e-7,0.0001
lfw,all,rgb,rgb/Alan_Dreher_0001.ppm,55.4,8.714e-7,0.0001
lfw,all,rgb,rgb/Alan_Greenspan_0001.ppm,54.5,7.326e-7,0.0001
lfw,all,rgb,rgb/Alan_Greenspan_0002.ppm,60.6,6.657e-7,0.0002
lfw,all,rgb,rgb/Alan_Greenspan_0003.ppm,52.3,6.946e-7,0.0001
lfw,all,rgb,rgb/Alan_Greenspan_0004.ppm,56.2,7.255e-7,0.0001
lfw,all,rgb,rgb/Alan_Greenspan_0005.ppm,47.6,7.629e-7,0.0001
lfw,all,rgb,rgb/Alan_Greer_0001.ppm,54.9,7.328e-7,0.0001
lfw,all,rgb,rgb/Alan_Jackson_0001.ppm,52.6,7.831e-7,0.0002
lfw,all,rgb,rgb/Alan_Mulally_0001.ppm,58.4,6.888e-7,0.0002
lfw,all,rgb,rgb/Alan_Mulally_0002.ppm,59.3,7.128e-7,0.0002
lfw,all,rgb,rgb/Alan_Stonecipher_0001.ppm,59.8,6.934e-7,0.0001
lfw,all,rgb,rgb/Alan_Tang_Kwong-wing_0001.ppm,53.2,8.243e-7,0.0001
lfw,all,rgb,rgb/Alan_Trammell_0001.ppm,58.7,6.659e-7,0.0001
lfw,all,rgb,rgb/Alan_Zemaitis_0001.ppm,57.1,7.006e-7,0.0002
lfw,all,rgb,rgb/Alanis_Morissette_0001.ppm,60.9,7.590e-7,0.0002
lfw,all,rgb,rgb/Alanna_Ubach_0001.ppm,59.3,7.548e-7,0.0002
lfw,all,rgb,rgb/Alastair_Campbell_0001.ppm,58.9,6.748e-7,0.0002
lfw,all,rgb,rgb/Alastair_Campbell_0002.ppm,40.2,9.897e-7,0.0001
lfw,all,rgb,rgb/Alastair_Campbell_0003.ppm,57.6,7.745e-7,0.0001
lfw,all,rgb,rgb/Alastair_Campbell_0004.ppm,55.6,8.419e-7,0.0002
lfw,all,rgb,rgb/Alastair_Campbell_0005.ppm,49.7,9.700e-7,0.0002
lfw,all,rgb,rgb/Alastair_Johnston_0001.ppm,56.4,7.601e-7,0.0002
lfw,all,rgb,rgb/Albaro_Recoba_0001.ppm,61.7,6.690e-7,0.0001
lfw,all,rgb,rgb/Albert_Brooks_0001.ppm,53.6,7.507e-7,0.0001
lfw,all,rgb,rgb/Albert_Costa_0001.ppm,47.8,8.028e-7,0.0001
lfw,all,rgb,rgb/Albert_Costa_0002.ppm,52.1,7.885e-7,0.0002
lfw,all,rgb,rgb/Albert_Costa_0003.ppm,63.4,7.448e-7,0.0001
lfw,all,rgb,rgb/Albert_Costa_0004.ppm,51.1,8.754e-7,0.0002
lfw,all,rgb,rgb/Albert_Costa_0005.ppm,54.8,7.233e-7,0.0001
lfw,all,rgb,rgb/Albert_Costa_0006.ppm,55.3,7.489e-7,0.0002
lfw,all,rgb,rgb/Albert_Montanes_0001.ppm,59.2,7.123e-7,0.0001
lfw,all,rgb,rgb/Albert_Pujols_0001.ppm,62.7,6.432e-7,0.0001
lfw,all,rgb,rgb/Alberta_Lee_0001.ppm,65.2,6.793e-7,0.0002
lfw,all,rgb,rgb/Alberto_Acosta_0001.ppm,57.1,7.666e-7,0.0002
lfw,all,rgb,rgb/Alberto_Fujimori_0001.ppm,51.7,7.948e-7,0.0001
lfw,all,rgb,rgb/Alberto_Fujimori_0002.ppm,48.1,8.288e-7,0.0001
lfw,all,rgb,rgb/Alberto_Gonzales_0001.ppm,55.7,6.921e-7,0.0001
lfw,all,rgb,rgb/Alberto_Ruiz_Gallardon_0001.ppm,57.7,6.802e-7,0.0002
lfw,all,rgb,rgb/Alberto_Ruiz_Gallardon_0002.ppm,47.1,9.512e-7,0.0002
lfw,all,rgb,rgb/Alberto_Sordi_0001.ppm,53.4,7.454e-7,0.0002
lfw,all,rgb,rgb/Albrecht_Mentz_0001.ppm,51.8,8.057e-7,0.0002
lfw,all,rgb,rgb/Albrecht_Mentz_0002.ppm,47.5,8.455e-7,0.0001
lfw,all,rgb,rgb/Aldo_Paredes_0001.ppm,60.1,7.146e-7,0.0002
lfw,all,rgb,rgb/Aldo_Paredes_0002.ppm,51.0,7.455e-7,0.0001
lfw,all,rgb,rgb/Alec_Baldwin_0001.ppm,58.6,7.685e-7,0.0002
lfw,all,rgb,rgb/Alec_Baldwin_0002.ppm,52.6,7.997e-7,0.0001
lfw,all,rgb,rgb/Alec_Baldwin_0003.ppm,55.4,7.218e-7,0.0001
lfw,all,rgb,rgb/Alec_Baldwin_0004.ppm,58.2,7.591e-7,0.0001
lfw,all,rgb,rgb/Alecos_Markides_0001.ppm,60.8,7.195e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Atchugarry_0001.ppm,59.2,7.272e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Atchugarry_0002.ppm,57.5,7.378e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Avila_0001.ppm,59.7,6.901e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Avila_0002.ppm,58.9,6.996e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Avila_0003.ppm,60.4,6.076e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Fernandez_0001.ppm,58.4,7.057e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Gonzalez_Inarritu_0001.ppm,64.2,6.952e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Lembo_0001.ppm,58.0,7.386e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Lerner_0001.ppm,53.4,7.512e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Lopez_0001.ppm,54.5,6.765e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0001.ppm,48.8,8.379e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0002.ppm,51.8,7.496e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0003.ppm,52.6,7.226e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0004.ppm,54.8,7.634e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0005.ppm,53.0,8.266e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0006.ppm,55.3,7.308e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0007.ppm,57.8,7.486e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0008.ppm,52.5,7.368e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0009.ppm,54.6,7.992e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0010.ppm,54.6,7.432e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0011.ppm,54.6,7.578e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0012.ppm,57.6,7.250e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0013.ppm,53.8,6.607e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0014.ppm,55.2,7.236e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0015.ppm,55.9,7.289e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0016.ppm,48.4,8.044e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0017.ppm,55.2,7.682e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0018.ppm,35.2,1.149e-6,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0019.ppm,54.7,7.693e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0020.ppm,52.8,7.938e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0021.ppm,57.9,8.160e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0022.ppm,53.1,8.049e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0023.ppm,57.2,7.728e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0024.ppm,63.0,6.561e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0025.ppm,57.3,6.994e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0026.ppm,57.9,7.199e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0027.ppm,57.7,7.287e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0028.ppm,34.7,6.721e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0029.ppm,56.1,7.306e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0030.ppm,53.6,6.995e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0031.ppm,59.5,6.329e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0032.ppm,53.1,7.277e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0033.ppm,49.2,8.102e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0034.ppm,52.3,7.753e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0035.ppm,54.5,7.330e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0036.ppm,54.6,8.294e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0037.ppm,56.9,7.523e-7,0.0001
lfw,all,rgb,rgb/Alejandro_Toledo_0038.ppm,58.0,7.124e-7,0.0002
lfw,all,rgb,rgb/Alejandro_Toledo_0039.ppm,54.8,7.644e-7,0.0002
lfw,all,rgb,rgb/Alek_Wek_0001.ppm,59.8,6.468e-7,0.0001
lfw,all,rgb,rgb/Aleksander_Kwasniewski_0001.ppm,62.2,6.765e-7,0.0001
lfw,all,rgb,rgb/Aleksander_Kwasniewski_0002.ppm,66.7,6.962e-7,0.0001
lfw,all,rgb,rgb/Aleksander_Kwasniewski_0003.ppm,64.3,6.714e-7,0.0001
lfw,all,rgb,rgb/Aleksander_Kwasniewski_0004.ppm,61.7,6.872e-7,0.0001
lfw,all,rgb,rgb/Aleksander_Voloshin_0001.ppm,59.9,7.839e-7,0.0002
lfw,all,rgb,rgb/Alessandra_Cerna_0001.ppm,52.3,7.288e-7,0.0001
